Network,Sidney Lumet,Drama,8.1,8,1976,"To think that this blackest of black comedies was made in 1976 could only means two things: 1) Nothing has changed or 2) Paddy Chayefsky was seeing the future with the most disturbing clarity. I endorse the later of the two because I believe things have changed since 1974 - I wasn't born yet, but I know because of my parents, the movies, literature, etc, etc, etc. Peter Finch as the mad prophet of the airwaves gives Chayefsky a riveting and powerful voice. The scenes between old chums Finch and William Holden are some of the best written scenes in any American movie until the Coen brothers emerged. Finch is superb, superb! and Holden, at the end of a legendary career, gives a performance of such ferocious sincerity that I rediscovered the man, the actor and felt the need to revisit some of his opus. From Golden Boy to Sunset Boulevard, Holden was a man who carried his own discomfort as a weapon. Extraordinary! However, the most alarming character in the whole thing is Faye Dunaway's. She is magnificent in her thin, nervous, bra-less attitude. She is a monster of commercial amorality. Everything in this incredible movie moves with the precision of an inspired clairvoyant's vision. Duvall's executive, Beatrice Straight's betrayed wife and Ned Beatty's god like big shot makes this one of the most frightening, entertaining, funniest, remarkable film from the 70's. Sidney Lumet proves once more that he's as good as his material. Here he is at his zenith."
Monty Python's Life of Brian,Terry Jones,Comedy,8.1,8.1,1979,"Personally, I believe this to be one of the most intelligent comedies ever made. It might not appear that way at first because the film does have its share of simple slapstick and ""naughty"" moments, but generally, the topics the Pythons tackle here are very serious - albeit dealt with in a way that makes this a true contender for the funniest film of all time. A firework of hilarious sketches, timeless quotes and clever comments on the human condition, this film was deemed too dangerous for the masses and therefore, until recently, banned in several countries (normally, this only used to happen to the so called ""Video Nasties"").This film never once makes fun of Jesus (Christ) - but it DOES take the mickey out of blind, fanatic followers of any political movement or religion.An outstanding achievement and endlessly re-watchable. My vote: 10 out of 10Favorite films: http://www.IMDb.com/list/mkjOKvqlSBs/Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: http://www.imdb.com/list/ls054808375/Favorite TV-Shows reviewed: http://www.imdb.com/list/ls075552387/"
Rang De Basanti,Rakeysh Omprakash Mehra,Comedy,8.2,8.3,2006,"Paint It Yellow. Oops.that's suppose to be Rang De Basanti.. Well that's exactly the director tries to convey. Its about today, us and our present, yet the similarities we have from the Pre-independence era. The Gen-x who knows Mac-D but still prefers the Dhaba Paranthas with sweet Lassi. However they restrict their national values only to food and nothing more. Its not a run of the mill stuff with 6 six romantic songs, couple of foreign locales and then finally some emotional drama.. No no no.. Rang Deis a Cult movie. It is more of an introspection, a food for our thought process. It makes us think, as to how should we actually celebrate our freedom. I was really moved by some of the ending lines by the narrator, ""I thought there are 2 types of people in the world, one who die crying and other who move away in silence but today I learned there is third genre, people who go laughing"". That says it all Rang De is definitely a very brave and innovative attempt by the director and for that matter he has selected a near perfect cast. However veterans like Om Puri and Anupam Kher looked disposed. All the characters grow gradually in the film and make you think their way. Everyone is given enough space to justify their talent. Rakesh Omprakash Mehra is a director of the new emerging Indian cinema, he always tries to bring in something very different. I was really impressed by his last attempt in 2001 for Aks (Amitabh Bachchan and Manoj Bajpai ), and he definitely has succeeded in making another fabulous master piece. The highlight of the movie is the great use of cinematography techniques. Its probably for the first time in Indian cinema that juxtaposing has been used with such a great effect. The way each character gradually immerses into scenes from the past leaves you fantasizing about the hard work that has gone in the background to create this, both technically and on the part of the actor.The movie starts on a very high spirit reflecting today's youth mindset who believe that patriotism is something that looks good in history chapters and today's world is far ahead of all that, they would prefer to go boozing and dancing rather than thinking on any of those lines. The way the campus scenes are shown really makes everyone go down the memory lanes of beautiful college days. This is followed by some intriguing drama and events which turns the life of a group of buddies upside-down altogether.The film grows on you gradually. The director has made sure that there is a clear message in everything he presents, even the group of boys represents different sects of society and religion. Hence creating an appeal for everyone watching it. Music is another high point of the show, its foot tapping and very much with the mood of the subject. The songs give you a sense of freedom from within, a freedom to think in one's own way. A.R. Rehman doesn't need any introductions and he is surely one of the most original music directors we have in the country.The brilliance of Aamir Khan is something very difficult to narrate, he has proved it umpteen number of times that he is truly the most versatile actor in the industry. His comic timing in the first part is better than anything seen in recent past. He is extremely fluent even with difficult Punjabi tongue twisters and the acting prowess he has shown would be very difficult to match by anyone around. He appears so natural and his complete look with new hairstyle (which is now part of his every new movie) gives a very striking combination.Well the most wanting part of the whole thing has been the script to certain extent, it appears very loose in the second half and at times gives a droning feel. Few new ideas presented by the author looked half-baked. However it has been the technical expertise of the director who managed to save the things with some outstanding camera work and editing.Rang De  is for sure a must watch movie, it doesn't have any preaching but still it will force you to think once. As they say it ""There are two primary choices in life, to accept conditions as they exist or take upon the responsibility to change them"". I believe most of us want to bring about the changes without doing anything, so its time to think again folks and take some responsibility, lets Paint It Yellow"
The Passion of Joan of Arc,Carl Theodor Dreyer,Biography,8.2,7.8,1928,"Carl Th. Dreyer's The Passion of Joan of Arc was made, perhaps, years ahead of its time- my guess would be that if it wasn't burned after its initial release, it would've had as stunning an impact on the film world years down the line as Citizen Kane did. Though the use of close-ups and distorted angles were not completely new in this film, it felt like Dreyer was creating a new kind of cinema, one where reality, however cold and pitiful, was displayed with complete sincerity. There is also the editing (by Dreyer and Marguerite Beague), which has the timing that many directors/editors of the modern day could only hope to achieve (it has the influence of Eisenstein, only in a totally different historical context), and those moves with the camera by Rudolph Mate (who would go on to photograph Foreign Correspondent and Lady from Shanghai) that are precious- to call his work on the film extraordinary is an understatement.And it was crucial for Dreyer to use the close-ups and tilted angles and shots where you only see the eyes in the bottom of the frame, and so forth- he's developing the perfect atmosphere in regards to a trial set in 15th century France. It's all those eyes, all those faces, holding all those stolid mindsets that send Joan to her fate. Pretty soon a viewer feels these presences from all these people, so strong and uncompromising, and Dreyer does a miraculous thing- he makes it so that we forget about the time and place, and all of our attention is thrown onto those eyes of Joan, loaded to brim with a sorrow for where she is, but an un-questionable faith in what she feels about God. I wondered at one point whether Dreyer was making as much a point on people's faiths and prejudices in the almighty, or just one on basic humanity.There have been many before me who have praised Falconetti's performance to the heavens (Kael called it the finest performance in film), but in a way it almost can't be praised enough. What she achieves here is what Ebert must've felt watching Theron in the recent 'Monster'. I didn't even see her in a performance as Joan of Arc- I saw her as being the embodiment of it, as if Falconetti (with Dreyer's guidance) took Joan out of the pages of the trial transcript and her entire soul took over. There is something in an actor that has to be so compelling, so startling, and indeed so recognizable, that a person can feel empathy and/or sympathy for the person the actor's playing. All a viewer has to do is stare into Falconetti's eyes in any shot, close-up or not, and that viewer may get stirred to boiled-down emotion. For me, it was almost TOO over-whelming an emotional experience- when Joan is about to get tortured, for example, I found myself completely lost from where I was watching the film, everything in my soul and being was with Joan in that chamber, and for a minute I broke out in tears. That's the kind of effect that Dreyer's craft and all the acting work (including Eugene Sylvain as the Bishop Cauchon, and of course Artaud as Jean) can have on a viewer. I'm not saying it has to, yet The Passion of Joan of Arc could- and should- be considered a milestone in cinematic tragedy, where the images that come streaming forth never leave a viewer, and the detail for time and place becomes just that, a detail for the main stage. Love Joan or hate her, this is for keeps."
Andrei Rublev,Andrei Tarkovsky,Biography,8.2,8,1966,"Andrei Rublev (alternately transliterated as Andrei Rublyov) is an epic film created by the Soviet-era director, Andrei Tarkovsky. It was financed and created during a brief cultural thaw in East-West relations, marked by the end of Kruschchev's reign. Within reason, the 205 minute director's cut represents exactly what Tarkovsky wanted in the movie. Unfortunately for Tarkovsky and for us, Kruschev was deposed shortly after filming began, and the 205 minute version was not seen until twenty five years after its creation. The Breszhnev-era censors first trimmed 15 minutes from it, then censors and marketers trimmed more. The shortest known version has been truncated to 145 minutes. Even more sadly, Tarkovsky was never again to get approval for the projects he really wanted to film, or an adequate budget to film the ones that did get approved.Fortunately for us, this movie, recently rereleased in a DVD transferred from a pristine 35mm print, may now be viewed intact, and it is one of the great triumphs of mankind's stay on the planet. It is a masterpiece almost without flaw. The beautiful painterly images follow one another in breathtaking succession. At least three of the eight chapters, if taken individually, could stand alone as separate masterpieces.The ostensible subject is the life of Andrei Rublev, a 15th century monk who is renowned as Russia's greatest creator of religious icons and frescoes. Rublev himself, however, is merely a useful device. Little is known about him, and most of the episodes in the movie come straight from Tarkovsky's imagination of what might have been. Sometimes one must ignore the facts to get to the truth.The movie is not about one talented monk, but about Russia, and Rublev stands in as a useful symbol since he lived in a time when he could personally witness two of the key elements in the development of Russia's unique culture: the growing force of Byzantine Christianity, and the Mongol-Tatar invasions. In addition he was an artist and a thinker, and experienced first-hand the difficulty of following those paths in Russia. Rublev's own inner conflicts allow the filmmaker to illuminate thoughts on the pagan and the sacred, the nature of art, the relationship of the artist to the state, what it means to be Russian, and what it means to be human.It is beautiful, mystical, and profound, but the truly inspiring aesthetics are matched with complete technical wizardry. I simply don't know how some of the shots were created. One I do understand, and stand in awe of, is a continuous single camera shot, just before the church door is breached by Tatar invaders, which involves action in several different locations at multiple elevations as well as the correct timing of hundreds of extras and horses. It makes the first scene of Touch of Evil look like a high school film project.It is a difficult movie to follow. One might liken it to James Joyce's Finnegan's Wake as a work of genius so monumental and complex, and so disdainful of traditional narrative form, that it requires extensive thought and study to understand it. And even after studying it, watching it repeatedly, and reading Tarkovsky's own comments about it, one still finds it opaque in many ways.Tarkovsky was free to create the work of art he wanted, without concern for profit. The original 205 minute cut was also free from outside censorship. He used this freedom to realize his personal artistic vision. There is no other movie like it, and there may never be. Score it 11 out of 10."
Prisoners,Denis Villeneuve,Crime,8.1,8.1,2013,"If you think of someone being a prisoner, you automatically might think of someone behind bars. But apart from a physical prison, a prisoner can also be trapped mentally, either by his own doing or by someone else. This movie that starts off pretty light gets very heavy. And it is carried by its actors. Gyllenhalls characters might seem odd and out of place at the beginning, even like a cardboard cutout. But he does have more to do as the movie progresses.Still front row seat is Hugh Jackman. And while some might argue that a female should have a bigger role in this, you only have so much time to tell a story. And this is perfectly told and cut together. It might not fit your description of entertainment (and I don't think the filmmaker would love it described as such), but the movie is really great. If you like dramas in general you should be cherishing this .... and you will.We have a few grey areas that we visit and the ending did not satisfy everyone (I know from friends). But the movie could not have ended any other way (in my book). Superb movie one of the best released in 2013"
Stand by Me,Rob Reiner,Adventure,8.1,8.2,1986,"I find it hard to comment on this film without simply repeating what has already been said. It's not that I can't think of anything original, but that others seem to have felt the exact same emotions as I did when watching this film.I saw this movie when I was about 12, 13, maybe 14 years old. So it didn't have the same nostalgic sense it had for so many. But what it did, was make me ache for those memories. I wanted (in the words of another reviewer) to be 12, and *that* cool. I wished I had been like that, that I had had friends like that, laughed like that, and had adventures like that.The 'milk-money' scene was probably one of my all-time favourite scenes in movie history. Up until I saw this movie I had never held much regard for River Phoenix, but the poignancy and sincerity which River added to the role of Chris Chambers touched me to the point of tears. I read in yet another review that in this scene, River was asked to think of a time when he had been hurt by an adult, and that even after the cameras stopped rolling, River sat there still, sobbing and hurting. And I felt every tear and heard every word as though I were there with Chris.This movie made me laugh, cry, rejoice and fear with Chris, Gordie, Teddy and Vern. I loved the campfire scenes, and today I look back on my own childhood, and remember with a laugh the amazingly similar things I used to laugh and wonder about with my friends. I remember dreaming about being a writer and an actress, I remember standing up to bullies, I remember walking or riding with my friends, I remember being afraid, and crying onto a friend's shoulder.I guess what this movie does for everyone, is take them back in time, even though the situations may have been different, chances are you'll find the similarities, and remember with a smile that yes, your life was once *that* cool. In the words of Vern, ""a great time""I especially loved the ending. That they found out who was strong, and who just talked tough. I loved the last scene with Chris and Gordie, and the closing monologue.""I never had any friends later on, like the ones I had when I was twelve...Jesus....does anyone?"""
Mad Max: Fury Road,George Miller,Action,8.1,8,2015,"When I wrote this review 3 years ago I had no idea how many people hate this movie and they are preferring Mad Max 3 over this film. Claming Mad Max Beyond Thunderdome the third film is better film than this, really? Better than this? Listen folks it has no Mel Gibson so what? So what's your point? Gibson dropped out this film and he wasn't interested, it was in development for years, since in 2004 this movie was announced. George Miller did something different with this film and he got hate for it. I hate Mad Max Beyond Thunderdome to death! It is rated PG-13 family film and I wanted an action bloody rated R film not a boring stupid lame fu**** movie! I got an rated R bloody action film that I wanted in Mad Max: Fury Road. I was entertained and I enjoy it. At least it wasn't so sick like was Beyond Thunderdome. Mad Max: Fury Road is my second favorite film in the franchise and this movie did it right and it correct that third film that it failed been an good action film. Like it or hate it, is your problem but in my opinion it is a good action violent movie and I love it to death I am an action junkie myself. Mad Max 2: The Road Warrior is my number 1 favorite film of all time. I think Mad Max: Fury Road is George Miller's masterpiece. Finally, Finally after 30.years of fiasco Mad Max Beyond Thunderdome that completely destroyed the Mad Max Trilogy, George Miller finally come back and fix the mistake he did 30.years ago. Why wouldn't I love this film? This film is the best one in the series along side Mad Max 2: The Road Warrior at least for me it is the best film. It has action, high explosive and Tom Hardy been a real Mad Max unlike Mel Gibson was in Thunderdome. I am happy they made the 4th movie. Tom Hardy was a bad ass Mad Max. I didn't even noticed that we don't have Mel Gibson in here. Tom Hardy breaths life into Max Rockatansky and Charlize Theron is excellent and emotionally perfect as Furiosa. I love high speed and pursuit on a road which I seriously love this. The thing was more similar to Mad Max 2: The Road Warrior but much better, George Miller fix it, the film did not copy The Road Warrior the film has it is own story. All, the stunts and action sequences are SPECTACULAR. Immortan Joe was a fantastic villain in here he was really good. The film shows a real wasteland and the future which I am really happy about it. NOTE: ""Don't waste your time if you have seen the original."" from a hater review my reply: Yes I will waste my time watching this awesome action flick! Yes I have seen the Original Film Mad Max with Mel Gibson so many times than you ever did! I love this film much more than Mad Max because sometimes the original is very boring and the film has so much Drama in it and less Action than it is in Fury Road. I wanted to have an apocalyptic action film like are Fury Road and The Road Warrior which this film fix it. Finally yes Finally I have seen a good Action Film from 2015 and It is finally the finest blockbuster of 2015! Mad Max: Fury Road is a 2015 post-apocalyptic action film directed and produced by George Miller, and written by Miller, Brendan McCarthy and Nico Lathouris. The fourth installment in the Mad Max franchise, it is an Australian and American venture produced by Kennedy Miller Mitchell, RatPac-Dune Entertainment and Village Roadshow Pictures. The film is set in a future desert wasteland where gasoline and water are scarce commodities.10/10 Awesome film I have seen it twice. I love this film to death I love it! Fury Road would be the second favorite best film in the franchise."
Platoon,Oliver Stone,Drama,8.1,8.1,1986,"Platoon is a 1986 American war film written and directed by Oliver Stone one of the most strongest realistic anti war films of all time. It is one of the best Vietnam war films I have ever seen that won the Academy Award for Best Picture of 1986 and best Director for Oliver Stone, as well as Best Sound Mixing and Best Film Editing. Stone's Vietnam film portrayed a real life human been on his point of view of the story telling that went on in his real life that he experienced after his tour of duty in Vietnam ended in 1968, Oliver Stone wrote a screenplay called Break: a semi-autobiographical account detailing his experiences and the life he was in Vietnam. The characters were portrayed more then a few soldiers they were portrayed more as a human been than been soldiers obeying an order.Platoon shows the Vietnam War was a big mistake, but being a fictional documentary on Vietnam is far from its purpose. It is one of my personal favorite war movies. I love this movie to death. Those of us who did make it have an obligation to build again, to teach to others what we know, and to try with what's left of our lives to find a goodness and meaning in this life. In Platoon, Chris Taylor (Charlie Sheen) is a young, naive U.S. soldier who, upon his arrival to Vietnam, quickly discovers that he must do battle not only with the Viet Cong, but also with the gnawing fear, physical exhaustion and intense anger growing within him. While his two commanding officers draw a fine line between the war they wage against the enemy and the one they fight with each other, the conflict, chaos and hatred permeate Taylor, suffocating his realities and numbing his feelings to man's highest value... life.Chris sees his platoon fragmented into two halves, each aligned with one of two men -- Sgt. Elias (Willem Dafoe) and Sgt. Barnes (Tom Berenger). Those two soldiers are really two positive good things to see in the film because it sets the viewer on the seat of the edge. They both have nominally the same enemy (Viet Cong), but, really, it doesn't take long to realize that Elias is Good, and Barnes is Evil (the ""enemy"" does not enter into the moral equation of this film, at all it's an outside threat, same as malaria-carrying mosquitoes or even friendly fire). Elias feels the futility of the war and has respect for life; Barnes fights the war doggedly and has no compassion, period. Both are efficient soldiers fighting the same enemy, but really as is at one point aptly put by Chris Taylor himself,they are fighting for the souls of the platoon members, as the outcome of the war is never really in doubt.The platoon reaches the village, where a food and weapons cache is discovered. While questioning the village chief, Barnes loses his patience and senselessly kills the man's wife despite his denials that they are aiding the Viet Cong. Barnes is about to murder the man's young daughter to force him to tell them to where the enemy is. Elias doesn't take kindly to this kind of behavior. Elias and Barnes come closer and closer to open conflict, as Taylor becomes a veteran, obviously siding with Elias. Meanwhile, the fate of the platoon comes closer and closer to them, culminating in an explosively shot action conclusion. The end is dark, but morally satisfying.Platoon is a legendary film. A film that I will always cherish, and a film that I will never get tired of. And the last Vietnam film worth a damn to watch. There isn't any War film today that was filmed as really human drama war today in 2015. It respectively represents the very essence of purposefully haunting powerful cinematography in the history.-- It is representing admirable cinematic craftsmanship and storytelling. A film that is sometimes impossible to watch for its frighteningly intense and emotionally draining account of the Vietnam War as it is waged both on the battlefields and within the very souls of men.The best real human drama portrayed on screen anti-war film in Vietnam from the 80's, It is my favorite film that I will always love to death to see. I also don't watch this film for an action ; I actually see it for the war and how it everything was, what is more valuable and it is life: The film also have a message in it. The actors portraying the characters did make a believable performance as the real team of squad soldier fighting the Enemy the Viet Cong.The battles with Viet-Cong are shown realistic mostly on the end of the final battle. 10/10"
Rush,Ron Howard,Action,8.1,8.2,2013,"The film is just over 2 hours long, but when it was over it seemed like I had been in the cinema about 30 minutes. The film centres on the battle for the 1976 Formula 1 World Championship, and the rivalry between the Austrian ""professor"" Nikki Lauda and the British playboy James Hunt. The two are depicted as enemies, but in actual fact they were good friends who trusted and respected each other on, as well as off-track. This bit of artistic licence does not spoil the film and is reasonable in order to make the battle between the two for the F1 crown more intense. The film is nicely paced. We are introduced to both characters through their own narrative and scenes that leave the watcher in no doubt as to their background and philosophy on life. The two are first seen in competition in 1970 at a Formula 3 race at Crystal Palace (where they have a coming together) and sets the scene for the rivalry throughout the film. I'm not sure if this is further artistic licence. The two definitely did race each other in F3, but I am not convinced as to whether this actual incident occurred. After that we are given a whistle stop journey between 1973 (when Hunt came into F1) to 1975. We are shown the dangerous nature of F1 at the time with the Francois Cevert accident at Watkins Glen in gory detail – although this does not seem like gratuitous, but necessary to bring home just how unforgiving the sport was back then – and it truly was (of the top 12 points scorers in 1976, F1 cars were to claim 3, 1 ended up in a wheelchair and 1 had his career ended by a leg crunching crash). We are then taken to 1976 and that titanic struggle for the World Crown. Only one real issue here – the British Grand Prix result, but I suspect this was simplified in the interests of time. The casting is superb. Chris Hemsworth, an Aussie, does an excellent job on public schoolboy James Hunt, while Daniel Bruhl both sounds and looks frighteningly like the Austrian. There is little room for a supporting cast amongst the drivers which is a shame – only Clay Regazzoni has a part of any real substance. Peterson, Watson, Depailler, Scheckter, Andretti et al could have featured a little more I think. What did their contemporaries think of the two protagonists? The supporting cast is mainly required for Hunt – Lord Hesketh, ""Bubbles"" Horsley and Teddy Mayer / Tyler Alexander of McLaren, while the Ferrari team principals are rarely seen. The love angle is perfectly catered for by Olivia Wilde (Hunt's first wife Suzy) and the gorgeous Alexandra Maria Lara - of Downfall fame – as the future Marlene Lauda. Both give quality performances. The attention to detail is superb. Although the tracks are not the actual ones (for understandable reasons) the cars, the helmets, the sponsors are all authentic. The film ""feels"" like it's happening in the 70's. For anyone interested in great personal stories, F1, the 70's, cars or just like to see a great film, then Rush is for you."
Million Dollar Baby,Clint Eastwood,Drama,8.1,8,2004,"""Million Dollar Baby"" has great characters, but it doesn't glorify them. It has a wonderful story, but it never tries to impress you. The photography, score and direction is superb, but never distracting. What this movie is, if I have to call it something, is passion. Passion for film-making, passion for storytelling, passion for its characters, passion for its actors, and passion for its story and the means at which it will go to tell it. Amazing.Frankie Dunn (Clint Eastwood) owns a messy boxing gym which is populated, mostly, by downbeat losers who he spends some time training. He runs it with his friend and former student Eddie Scrap-Iron Dupris (Morgan Freeman), who now lives contently at a room in the gym. One day a young woman named Maggie (Hilary Swank) walks in, looking for a manager and trainer. Frankie shafts her immediately (""girly, tough ain't enough""). Frankie has bigger things on his hands. He's managing a fighter who has a shot at a title bout.But Frankie is old and weathered and not an appealing manager, so the fighter leaves him. Frankie is broken by this; it is another in a long line of rejections and separations. We can tell that, at this time in his life, he only gets really close with those he's training (Scrap is the only exception). We can tell that his loneliness  and a bit of persuasion from Scrap  cause him to agree to teach Maggie. Teach, that is the agreement, not manage. But, by the end of the film he will have devoted his life to her.So the rest of the story follows these two people. There is no real 'plot' that you could describe in a trailer because it is constantly changingit is not the inspiring underdog story you may think of it as. No, what it's 'about' is these characters, and how they react to the circumstances around them, which change with each scene.Narrating the story is Scrap, speaking like he's looking back to a time long ago when everything has passed. His voice seems flat, deadpan, but there is a working of subtle sorrow in it. Scrap is a sad human being, he sees himself as the result of missed opportunities in the past, and so he spends his time helping the others, offering them his wise advice, with a tone of deadpan humor and even cockiness. Scrap knows what should be done, and what will happen regardless, and he is sort of okay with everything, in a sort of passive way. But the man also knows what's right and he has a deep, inner strength which is displayed in one scene in particular where you just have to cheer. It is an intriguing character, and personally I think it's Freeman's best performance.And Eastwood's best too. He is an elderly man; some might say too elderly to still be working. After all, most people are retired by his age. But if you had to guess when you're watching this film, you would never, ever say the man is seventy-four. You would say something closer to the sixties, because the man has such amazing energy and dedication, and above all, he has talent. It's been forty long years since ""A Fist Full of Dollars"" and film has come a long way, and so has this man. At seventy-four, passed all those years as an action hero, nearing what's could be the end of his career, Eastwood has made his best movie. I really, really hope he has time to make many more.As for Swank, well, she must have found something big that she shared with her character, because this is not acting, it is existing. Swank is Maggie. That's all there is too it. This could be the movie she will be remembered for.So, ""Million Dollar Baby"" is a masterpiece. I saw it last night when it opened in my city, and everyone else was seeing ""White Noise"", and I was shaking my head. Everyone who is even remotely interested in movies should see this one, just so they can know how movies are supposed to be made. I'm trying to think, and there is not a single thing here where Eastwood went wrong. The acting, directing, writing, score, cinematographythey all accomplish precisely what they're supposed to with sublime perfection. Many of these aspects will certainly receive Oscars and all of them should.You may cry through this film, you may cheer. Whatever the case, you will love it.9/10."
Hachi: A Dog's Tale,Lasse Hallström,Drama,8.1,8.3,2009,"Knowing the real-life story behind it, Hachiko: A Dog's Story (2009) has been made in a sort of staged documentary style, similar to the kind of movies often seen on documentary channels (e.g. NatGeo), however without a narrator so common in documentaries, and including well-known actors (Richard Gere, Sarah Roemer and Joan Allen), making it more suitable for theatrical distribution.Before my last year's visit to Tokyo I've been unaware of the true-life story this movie is based upon. In time an occasion came up to meet a friend in Shibuya city, contemporary center of Tokyo's youth culture (shopping, fashion, nightlife...), and that's how I've learned about the popular local meeting point for all Tokyoites, the Hachikō Akita dog statue just outside of Shibuya Train Station, but the real story behind it has been still eluding me ever since. After seeing this movie, and some additional research on the web, all pieces have fallen into place.In retelling the story of common bonding between the dog and its owner, so usual that it comes so natural, film is moving at slow pace, following events of an ordinary life, though not without occasional comedic and dramatic overtones. Even past the dramatic highpoint, when common acts of affection and loyalty evolve towards such an unheard-of faithfulness and ultimate devotion, pace of the storytelling does not change, relying primarily on fine details and emotional build-up. Of course, this might not attract everybody, providing that majority of movie audience today is highly dependent on fast paced, action packed scenes, getting thrills from 3D CG stylized ambiance and suspense, high volume amplitudes and aggressive, often rude highlights of any other nature. However, for those who can do without it, and keep alive their interest even in a simple story, who won't shy away from emotional involvement (as if this can be controlled), they shall easily find themselves consumed by its mere beauty and warmth. Usual man's-best-friend story, spiced with an intriguing yet inspiring detail, shall leave you a bit sad, inevitably pensive, but ultimately delighted. Even more so after the reading of the real-life epilogue."
Logan,James Mangold,Action,8.1,8.2,2017,"When Logan heard that his comic book would work in a similar way, my expectation was a little more. Later Logan's first trailer ended me. The tone of the trailers, the selected music, the intensity of the emotion was superb. I did not get my eye from X-23 in action scenes. Very good performance. Sir Patrick Stewart, like Hugh Jackman, is the last time to portray the role of the X-Men in the universe. And gave a very good feeling and left the film with more drama.Logan, beyond his superhero films, a fickle old and sick man. He is constantly showing the struggle with himself. Unlike other films, violence and action are not adorned with visual effects, they are given in a very hard and realistic way. These old mutants are trying to save the children to make the world a better place.It's an action that will be an Oscar nominee from Hugh Jackman. Logan, it's a goodbye we cannot forget for a long time. 9/10"
Ben-Hur,William Wyler,Adventure,8.1,8,1959,"When I first saw 'Ben Hur' I was 8 years old and hadn't seen many films, since we were hardly ever allowed to watch television. Imagine what an impact this film had on me (my movie diet had so far consisted of Chaplin and Disney films - which, of course, is not at all a bad thing).The experience was simply mesmerizing. Awe and wonder filled me as I watched this story of shocking betrayal, revenge and forgiveness unfold on screen - and by the time the heart-stopping chariot race was over, my fate as a future movie addict was sealed. Despite its 212 minutes running time, this is storytelling at its finest that knows how to entertain; as we follow Judah Ben-Hur's dramatic journey from Jerusalem to Rome and back again, the film just never lets up and immerses you completely.It's hard to imagine anything more cinematic, especially at the time: if ever there was an epic that was meant to be seen on the big screen in all its bombastic glory, it's Ben Hur. And even now, after I've seen the film many, many times, I feel like this story has a certain sense of greatness to it that is touching (and I don't mean that in a religious sense).My verdict: this film was and is nothing like the many ""sandal and sword"" or bible films of that era; it is (at least to me) the ultimate film epic. With its touching story and fantastic action sequences - which I think hold up amazingly well - Ben Hur is among the milestones of its era and part of film history.Pure cinema and a must see. 10 stars out of 10.Favorite TV-Shows reviewed: imdb.com/list/ls075552387/Favorite films: IMDb.com/list/mkjOKvqlSBs/Lesser-Known Masterpieces: imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: imdb.com/list/ls054808375/"
Barry Lyndon,Stanley Kubrick,Adventure,8.1,8,1975,"In the midst of the many wonderful films made by Stanley Kubrick, it is strange to note how rarely people mention ""Barry Lyndon"".The film portrays an unusual young Irish man, Redmond Barry, and his endeavours as he is forced to leave his home and tries to make good his life elsewhere. His life away from home starts out as a career in the British Army; only to evolve in surprising ways and lead to as different places as a position of trust within the Prussian Army and later a title of nobility, gained by what our time can only measure as rather disgraceful means.Some consider Barry Lyndon a slow and tedious film  and it is in deed past three hours in length, but this is because of the artistic flow of a film that strays not only to tell a tale about a man who is by no means neither hero nor villain, but also a film which is in no hurry and takes the time for every detail to sink into the mind and heart of the viewer. Some of the scenic images in ""Barry Lyndon"" are in themselves pieces of art, rendered with a passion for the landscapes and the man-made structures within them.The myth that all scenes were recorded using no artificial lighting no doubt stems from the very realistic lights during indoor takes, and some of them truly did not feature artificial light. This is but one of the many details that so easily conveys a sense of a realistic portray of the era; the 18th century and the time after the seven-year war in the later half of the century. The impressive atmosphere and the wonderfully picturesque scenarios along with the fact that the entire plot moves at a calm pace makes this film a very pleasant experience.""Barry Lyndon is"", amidst Kubricks' many masterpieces, a film so easily dismissed due to length and the fact that it is overshadowed by others, but I deeply recommend this film to anyone who would like to see a film both for the plot line, the story and the pure enjoyment of the images presented. Stanley Kubrick made many great films  and this one is most definitely one of them! KimotoCat"
Hotel Rwanda,Terry George,Biography,8.1,8.1,2004,"Anything I say in this review is probably redundant, because there isn't a single negative review in all the comments so far here, and I agree wholeheartedly with what has been said by other reviewers.Nevertheless Hotel Rwanda is that rare kind of movie experience that doesn't easily relinquish its hold on the audience just because the credits have rolled. Watching with a friend, after ten minutes we had to pause the film because we decided we would be better served if we were more informed about what the basic facts of the conflict in Rwanda were. So to my shame, we had to read on the internet about what really happened, before we could continue. I say shame because we should have known, both of us were of an age when it happened to have taken more of an interest in world politics.The film is beautifully understated, eschewing sentimentality in favour of raw emotion and letting the story tell itself. The acting was flawless - Don Cheadle's breathtaking performance being a particular standout - and the direction didn't falter, despite all the potential pitfalls of dramatising a recent and horrific conflict. The scenes which were hardest to watch in terms of tension and violence were often suffused with humour and hope.It's difficult sometimes to separate the significance of the true story, from the artistry of the product, and often I get impatient with 'worthy' movies scoring big at Oscar time because it seems as though important stories ought to be rewarded, whether or not they make good films. However, I can't recall being so profoundly moved by a film since I saw The Grey Zone, and I hope Hotel Rwanda gets all the plaudits it deserves."
